"Event Title","Date","Time (UTC)","Categories","Show As Status","Match Reason","Description","My Response"
"Ohio AI Roundtable","2026-08-05","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion. Join us for AIR, a weekly in-office event designed to help Improvers level up their AI skills and stay informed on what's happening in the world of AI. Location: In-office (Independence, OH & Columbus, OH). Time: 11:30 am every Wednesday. Lunch provided for in-person attendees. Remote access available.","Accepted"
"Microsoft Discovery Session: Build Context-Aware Agents That Drive Real Business Decisions","2026-08-05","17:00-18:00","EIP","busy","category:EIP","Click here to join the digital event. Links to join are unique to each registrant and should not be forwarded.","Organizer"
"What Moves Us? Finding Purpose, Calling, and Meaning at Work, with Cynthia Rodriguez | Come Together English Virtual Talk","2026-08-06","17:00-18:00","EIP","busy","category:EIP","What keeps us motivated when challenges arise? Why do some roles feel like a job while others feel like a calling? In this talk, we'll explore the forces that give our work meaning and examine how purpose, vocation, and personal values influence the way we grow, contribute, and find fulfillment throughout our careers. [Full detail fetch skipped: attendee list too large (~270 people) to retrieve in full; using search summary.]","Not tracked (all-company broadcast invite)"
"Trust Pod 2026","2026-08-06","19:30-20:00","EIP","busy","category:EIP","This pod is based on Trust Foundations and Leading at the Speed of Trust by Stephen M. R. Covey. EIP Points: Education/Coaching - ImprovingU Group Discussion (one per trust pod attended). Feel free to forward this invitation to additional Improvers!","Accepted"
"Ohio AI Roundtable","2026-08-12","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion.","Accepted"
"Trust Pod 2026","2026-08-13","19:30-20:00","EIP","busy","category:EIP","This pod is based on Trust Foundations and Leading at the Speed of Trust by Stephen M. R. Covey. EIP Points: Education/Coaching - ImprovingU Group Discussion (one per trust pod attended).","Accepted"
"From AI Assistants to AI Contributors: Rethinking the Developer Platform","2026-08-13","21:30-23:30","EIP","busy","category:EIP","The conversation most engineering leaders are having about AI is too narrow. They are asking how do we get developers using Copilot when the question they should be asking is what does our developer platform need to look like when agents become active contributors in the delivery lifecycle. We'll meet at the Improving Training Center in Independence. Speaker: Bill Curry, Improving VP of Consulting. Doors open 5:00pm, talk starts 6:15pm, networking until 8pm.","Organizer"
"Global Townhall","2026-08-17","15:30-17:00","EIP","busy","category:EIP","You're invited to Global Townhall. Mon, Aug 17, 2026 10:30 AM - 12:00 PM (UTC-06:00) Central Time.","Not tracked (all-employees broadcast invite)"
"Cleveland CT - Mystery Speakeasy","2026-08-18","20:00-21:00","EIP","busy","category:EIP","(no description provided)","Accepted"
"Ohio AI Roundtable","2026-08-19","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion.","Accepted"
"Magic: The Art of Lying Honestly, with Harold Pulcher | Come Together English Virtual Talk","2026-08-20","17:00-18:00","EIP","busy","category:EIP","Magic is not about scamming people, embarrassing volunteers, or pretending to chat with ghosts about their weekend plans. It is about wonder, skill, and entertainment. In this lively session, Harold, past president of the Dallas Magic Clubs, explores what makes magic captivating. [Full detail fetch skipped: attendee list too large (~400+ people) to retrieve in full; using search summary.]","Not tracked (all-company broadcast invite)"
"Path Shaun-Michael","2026-08-21","15:30-16:00","EIP","busy","category:EIP","Discuss goals and such.","Accepted"
"Ohio AI Roundtable","2026-08-26","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion.","Accepted"
"The Science of Curiosity: Why We Love Mystery (and How It Boosts Learning), with Esteban Cortes | Come Together English Virtual Talk","2026-08-27","17:00-18:00","EIP","busy","category:EIP","Have you ever wondered why we can't stop watching a suspenseful thriller, or why an unsolved puzzle stays rent-free in our heads for days? Curiosity is far more than a personality trait; it is a powerful neurobiological mechanism designed to accelerate learning and human connection or even survival. In this session, we will explore the physiology of wonder, the psychosocial phenomena behind collective intrigue, and how we can harness the science of mystery to transform the way we learn, lead, and grow together at Improving.","Not tracked (all-company broadcast invite)"
